player,position,C,D,LW,RW,retire_year,retire_age,years_played
A.J. Greer\greeraj01,LW,0,0,1,0,2017,20,1
Aaron Downey\downeaa01,RW,0,0,0,1,2009,34,4
Aaron Ekblad\ekblaaa01,D,0,1,0,0,2017,20,3
Aaron Gagnon\gagnoaa01,C,1,0,0,0,2013,26,4
Aaron Gavey\gaveyaa01,C,1,0,0,0,2006,31,1
Aaron Johnson\johnsaa01,D,0,1,0,0,2013,29,8
Aaron MacKenzie\mackeaa01,D,0,1,0,0,2009,27,1
Aaron Miller\milleaa01,D,0,1,0,0,2009,36,3
Aaron Ness\nessaa01,D,0,1,0,0,2017,26,6
Aaron Palushaj\palusaa01,RW,0,0,0,1,2014,24,4
Aaron Rome\romeaa01,D,0,1,0,0,2014,30,8
Aaron Volpatti\volpaaa01,RW,0,0,0,1,2015,29,5
Aaron Voros\vorosaa01,LW,0,0,1,0,2011,29,4
Aaron Ward\wardaa01,D,0,1,0,0,2010,37,5
Adam Almqvist\almqvad01,D,0,1,0,0,2014,22,1
Adam Berti\bertiad01,LW,0,0,1,0,2008,21,1
Adam Burish\burisad01,RW,0,0,0,1,2015,32,9
Adam Clendening\clendad01,D,0,1,0,0,2017,24,3
Adam Cracknell\crackad01,RW,0,0,0,1,2017,31,7
Adam Erne\ernead01,LW,0,0,1,0,2017,21,1
Adam Foote\footead01,D,0,1,0,0,2011,39,6
Adam Hall\hallad01,RW,0,0,0,1,2014,33,9
Adam Henrique\henriad01,C,1,0,0,0,2017,26,7
Adam Larsson\larssad01,D,0,1,0,0,2017,24,6
Adam Lowry\lowryad01,LW,0,0,1,0,2017,23,3
Adam Mair\mairad01,C,1,0,0,0,2011,31,6
Adam McQuaid\mcquaad01,D,0,1,0,0,2017,30,8
Adam Pardy\pardyad01,D,0,1,0,0,2017,32,9
Adam Payerl\payerad01,C,1,0,0,0,2014,22,1
Adam Pelech\pelecad01,D,0,1,0,0,2017,22,2
Adam Pineault\pineaad01,RW,0,0,0,1,2008,21,1
Adrian Aucoin\aucoiad01,D,0,1,0,0,2013,39,8
Adrian Kempe\kempead01,LW,0,0,1,0,2017,20,1
Aki Berg\bergak01,D,0,1,0,0,2006,28,1
Akim Aliu\aliuak01,RW,0,0,0,1,2013,23,2
Alain Nasreddine\nasreal01,D,0,1,0,0,2009,32,3
Alan Quine\quineal01,C,1,0,0,0,2017,23,2
Alec Martinez\martial01,D,0,1,0,0,2017,29,8
Aleksander Barkov\barkoal01,C,1,0,0,0,2017,21,4
Ales Hemsky\hemskal01,RW,0,0,0,1,2017,33,12
Ales Kotalik\kotalal01,RW,0,0,0,1,2011,32,6
Alex Biega\biegaal01,D,0,1,0,0,2017,28,3
Alex Brooks\brookal01,D,0,1,0,0,2009,30,1
Alex Chiasson\chiasal01,RW,0,0,0,1,2017,26,5
Alex Foster\fosteal01,C,1,0,0,0,2008,23,1
Alex Friesen\friesal01,C,1,0,0,0,2016,25,1
Alex Frolov\froloal01,LW,0,0,1,0,2011,28,6
Alex Galchenyuk\galchal01,C,1,0,0,0,2017,22,5
Alex Goligoski\goligal01,D,0,1,0,0,2017,31,10
Alex Grant\grantal01,D,0,1,0,0,2016,27,3
Alex Henry\henryal01,D,0,1,0,0,2009,29,4
Alex Killorn\killoal01,LW,0,0,1,0,2017,27,5
Alex Kovalev\kovalal01,RW,0,0,0,1,2013,39,8
Alex Ovechkin\ovechal01,RW,0,0,0,1,2017,31,12
Alex Petrovic\petroal01,D,0,1,0,0,2017,24,5
Alex Pietrangelo\pietral01,D,0,1,0,0,2017,27,9
Alex Plante\plantal01,D,0,1,0,0,2012,22,3
Alex Steen\steenal01,LW,0,0,1,0,2017,32,12
Alex Tanguay\tangual01,LW,0,0,1,0,2016,36,11
Alex Tuch\tuchal01,RW,0,0,0,1,2017,20,1
Alex Zhamnov\zhamnal01,C,1,0,0,0,2006,35,1
Alexander Burmistrov\burmial01,C,1,0,0,0,2017,25,7
Alexander Edler\edleral01,D,0,1,0,0,2017,30,11
Alexander Karpovtsev\karpoal01,D,0,1,0,0,2006,35,1
Alexander Khavanov\khavaal01,D,0,1,0,0,2006,34,1
Alexander Khokhlachev\khokhal01,C,1,0,0,0,2016,22,3
Alexander Mogilny\mogilal01,RW,0,0,0,1,2006,36,1
Alexander Nikulin\nikulal01,C,1,0,0,0,2009,23,2
Alexander Nylander\nylanal01,RW,0,0,0,1,2017,18,1
Alexander Perezhogin\perezal01,RW,0,0,0,1,2009,23,2
Alexander Radulov\radulal01,RW,0,0,0,1,2017,30,11
Alexander Semin\seminal01,RW,0,0,0,1,2016,31,10
Alexander Suglobov\sugloal01,RW,0,0,0,1,2009,25,2
Alexander Sulzer\sulzeal01,D,0,1,0,0,2014,29,6
Alexander Svitov\svitoal01,C,1,0,0,0,2009,24,1
Alexander Urbom\urbomal01,D,0,1,0,0,2014,23,4
Alexander Vasyunov\vasyual01,LW,0,0,1,0,2011,22,1
Alexander Wennberg\wennbal01,C,1,0,0,0,2017,22,3
Alexandre Bolduc\boldual01,C,1,0,0,0,2015,29,7
Alexandre Burrows\burroal01,RW,0,0,0,1,2017,35,12
Alexandre Carrier\carrial01,D,0,1,0,0,2017,20,1
Alexandre Daigle\daiglal02,RW,0,0,0,1,2006,30,1
Alexandre Giroux\giroual01,LW,0,0,1,0,2012,30,7
Alexandre Grenier\grenial01,RW,0,0,0,1,2017,25,2
Alexandre Picard\picaral01,D,0,1,0,0,2012,26,7
Alexandre Picard\picaral02,LW,0,0,1,0,2010,24,5
Alexei Emelin\emelial01,D,0,1,0,0,2017,30,6
Alexei Kaigorodov\kaigoal01,C,1,0,0,0,2009,23,1
Alexei Mikhnov\mikhnal01,LW,0,0,1,0,2009,24,1
Alexei Ponikarovsky\ponikal01,LW,0,0,1,0,2013,32,8
Alexei Semenov\semenal01,D,0,1,0,0,2009,27,4
Alexei Yashin\yashial01,C,1,0,0,0,2009,33,2
Alexei Zhitnik\zhitnal01,D,0,1,0,0,2009,35,3
Alexey Marchenko\marchal01,D,0,1,0,0,2017,25,4
Allan Rourke\rourkal01,D,0,1,0,0,2009,27,3
Alyn McCauley\mccaual01,C,1,0,0,0,2009,29,2
Anders Eriksson\eriksan01,D,0,1,0,0,2010,35,4
Anders Lee\leean01,LW,0,0,1,0,2017,26,5
Andre Benoit\benoian01,D,0,1,0,0,2016,32,6
Andre Burakovsky\burakan01,LW,0,0,1,0,2017,21,3
Andre Deveaux\deveaan01,C,1,0,0,0,2012,27,4
Andre Petersson\peteran02,RW,0,0,0,1,2012,21,1
Andre Roy\royan01,RW,0,0,0,1,2009,33,4
Andreas Athanasiou\athanan01,C,1,0,0,0,2017,22,2
Andreas Englund\engluan01,D,0,1,0,0,2017,21,1
Andreas Engqvist\engqvan01,C,1,0,0,0,2012,24,2
Andreas Karlsson\karlsan01,C,1,0,0,0,2009,32,2
Andreas Lilja\liljaan01,D,0,1,0,0,2013,37,8
Andreas Martinsen\martian01,LW,0,0,1,0,2017,26,2
Andreas Nodl\nodlan01,RW,0,0,0,1,2013,25,5
Andreas Thuresson\thurean01,RW,0,0,0,1,2011,23,2
Andrei Kostitsyn\kostian01,RW,0,0,0,1,2012,26,7
Andrei Loktionov\loktian01,C,1,0,0,0,2014,23,5
Andrei Markov\markoan01,D,0,1,0,0,2017,38,12
Andrei Nazarov\nazaran01,RW,0,0,0,1,2006,31,1
Andrei Zubarev\zubaran01,D,0,1,0,0,2011,23,1
Andrei Zyuzin\zyuzian01,D,0,1,0,0,2009,30,3
Andrej Meszaros\meszaan01,D,0,1,0,0,2015,29,10
Andrej Nestrasil\nestran01,C,1,0,0,0,2017,25,3
Andrej Sekera\sekeran01,D,0,1,0,0,2017,30,11
Andrej Sustr\sustran01,D,0,1,0,0,2017,26,5
Andrew Agozzino\agozzan01,LW,0,0,1,0,2016,25,2
Andrew Alberts\alberan01,D,0,1,0,0,2014,32,9
Andrew Bodnarchuk\bodnaan01,D,0,1,0,0,2016,27,7
Andrew Brunette\brunean01,LW,0,0,1,0,2012,38,7
Andrew Campbell\campban01,D,0,1,0,0,2016,27,3
Andrew Cassels\cassean01,C,1,0,0,0,2006,36,1
Andrew Cogliano\coglian01,LW,0,0,1,0,2017,29,10
Andrew Copp\coppan01,C,1,0,0,0,2017,22,3
Andrew Desjardins\desjaan01,LW,0,0,1,0,2017,30,7
Andrew Ebbett\ebbetan01,C,1,0,0,0,2015,32,8
Andrew Ference\ferenan01,D,0,1,0,0,2016,36,11
Andrew Gordon\gordoan01,RW,0,0,0,1,2013,27,5
Andrew Hutchinson\hutchan01,D,0,1,0,0,2011,30,6
Andrew Joudrey\joudran01,C,1,0,0,0,2012,27,1
Andrew Ladd\laddan01,LW,0,0,1,0,2017,31,12
Andrew MacDonald\macdoan01,D,0,1,0,0,2017,30,9
Andrew MacWilliam\macwian01,D,0,1,0,0,2015,24,1
Andrew Miller\millean01,C,1,0,0,0,2016,27,2
Andrew Murray\murraan01,C,1,0,0,0,2013,31,6
Andrew Peters\peteran01,LW,0,0,1,0,2010,29,5
Andrew Poturalski\poturan01,C,1,0,0,0,2017,23,1
Andrew Shaw\shawan01,RW,0,0,0,1,2017,25,6
Andrey Pedan\pedanan01,D,0,1,0,0,2016,22,1
Andy Andreoff\andrean01,LW,0,0,1,0,2017,25,3
Andy Delmore\delmoan01,D,0,1,0,0,2006,29,1
Andy Greene\greenan01,D,0,1,0,0,2017,34,11
Andy Hilbert\hilbean01,C,1,0,0,0,2010,28,5
Andy McDonald\mcdonan01,C,1,0,0,0,2013,35,8
Andy Miele\mielean01,C,1,0,0,0,2014,25,3
Andy Roach\roachan01,D,0,1,0,0,2006,32,1
Andy Sutton\suttoan01,D,0,1,0,0,2012,36,7
Andy Wozniewski\woznian01,D,0,1,0,0,2010,29,5
Anson Carter\cartean01,RW,0,0,0,1,2009,32,2
Anssi Salmela\salmean01,D,0,1,0,0,2011,26,3
Anthony Beauvillier\beauvan01,LW,0,0,1,0,2017,19,1
Anthony Bitetto\bitetan01,D,0,1,0,0,2017,26,3
Anthony DeAngelo\deangan01,D,0,1,0,0,2017,21,1
Anthony Duclair\duclaan01,LW,0,0,1,0,2017,21,3
Anthony Mantha\manthan01,RW,0,0,0,1,2017,22,2
Anthony Peluso\pelusan01,RW,0,0,0,1,2016,26,4
